"knn","nb","dt","rf","svc","mpl"
0.71494785631518,0.752027809965238,0.689455388180765,0.828505214368482,0.831981460023175,0.670915411355736
0.679026651216686,0.721900347624565,0.689455388180765,0.801853997682503,0.812282734646582,0.524913093858633
0.684820393974508,0.720741599073001,0.717265353418308,0.812282734646582,0.815758980301275,0.488991888760139
0.705677867902665,0.732329084588644,0.711471610660487,0.827346465816918,0.831981460023175,0.740440324449594
0.6720741599073,0.718424101969872,0.688296639629201,0.811123986095017,0.825028968713789,0.485515643105446
0.699884125144844,0.735805330243337,0.687137891077636,0.825028968713789,0.818076477404403,0.509849362688297
0.685979142526072,0.727694090382387,0.736964078794902,0.815758980301275,0.818076477404403,0.512166859791425
0.681344148319815,0.710312862108922,0.695249130938586,0.821552723059096,0.829663962920046,0.709154113557358
0.679026651216686,0.716106604866744,0.694090382387022,0.80648899188876,0.828505214368482,0.483198146002317
0.696407879490151,0.716106604866744,0.68018539976825,0.799536500579374,0.826187717265353,0.631517960602549
0.698725376593279,0.724217844727694,0.701042873696408,0.821552723059096,0.826187717265353,0.592120509849363
0.641946697566628,0.679026651216686,0.702201622247972,0.79837775202781,0.801853997682503,0.494785631517961
0.667439165701043,0.726535341830823,0.688296639629201,0.809965237543453,0.829663962920046,0.60486674391657
0.674391657010429,0.717265353418308,0.679026651216686,0.815758980301275,0.809965237543453,0.637311703360371
0.690614136732329,0.732329084588644,0.696407879490151,0.819235225955968,0.819235225955968,0.497103128621089
0.692931633835458,0.726535341830823,0.695249130938586,0.830822711471611,0.837775202780996,0.519119351100811
0.674391657010429,0.710312862108922,0.690614136732329,0.793742757821553,0.815758980301275,0.668597914252607
0.695249130938586,0.724217844727694,0.681344148319815,0.82271147161066,0.836616454229432,0.500579374275782
0.669756662804171,0.73928157589803,0.697566628041715,0.813441483198146,0.813441483198146,0.500579374275782
0.676709154113557,0.748551564310545,0.702201622247972,0.81460023174971,0.812282734646582,0.573580533024334
0.683661645422943,0.721900347624565,0.699884125144844,0.829663962920046,0.829663962920046,0.582850521436848
0.687137891077636,0.721900347624565,0.704519119351101,0.815758980301275,0.830822711471611,0.498261877172654
0.683661645422943,0.721900347624565,0.71494785631518,0.826187717265353,0.819235225955968,0.497103128621089
0.681344148319815,0.721900347624565,0.684820393974508,0.816917728852839,0.825028968713789,0.490150637311703
0.68018539976825,0.733487833140209,0.717265353418308,0.829663962920046,0.836616454229432,0.483198146002317
0.71494785631518,0.742757821552723,0.696407879490151,0.828505214368482,0.838933951332561,0.684820393974508
